material_id,formula_pretty,band_gap,density,formation_energy_per_atom,energy_above_hull,n_elements,ZT_proxy,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,pred_mean,pred_std
mp-861502,AcFeO3,0.9887999999999991,8.889999465919495,-2.771539465500001,0.0,3,0.30826750054651975,8.0,89.0,81.0,27.8,24.48,8.0,14.0,87.0,73.0,66.0,25.2,87.0,15.9994,227.0,211.0006,66.16864000000001,64.33254400000001,15.9994,54.8,1811.0,1756.2,659.6800000000001,725.856,54.8,3.0,16.0,13.0,11.8,5.04,16.0,2.0,7.0,5.0,3.4,1.6799999999999997,2.0,66.0,215.0,149.0,109.0,51.6,66.0,1.1,3.44,2.34,2.65,0.9480000000000001,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,6.0,6.0,1.4,1.8399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.8,1.12,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,2.6,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,3.8,2.16,2.0,9.105,44.5125,35.4075,16.5115,11.2004,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.42213256,0.675412096,0.0,12.0,229.0,217.0,98.0,103.2,12.0,0.3167766112781775,0.014054241428173568
mp-861605,AcH3,0.640699999999999,7.784733821859042,-0.671802030937499,0.0,2,0.055290715878086545,1.0,89.0,88.0,23.0,33.0,1.0,14.0,92.0,78.0,72.5,29.25,92.0,1.00794,227.0,225.99206,57.505955,84.7470225,1.00794,14.01,1323.0,1308.99,341.2575,490.87125000000003,14.01,1.0,3.0,2.0,1.5,0.75,1.0,1.0,7.0,6.0,2.5,2.25,1.0,31.0,215.0,184.0,77.0,69.0,31.0,1.1,2.2,1.1,1.9250000000000003,0.4125,2.2,1.0,2.0,1.0,1.25,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.5,0.75,1.0,0.0,1.0,1.0,0.75,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,2.25,3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,3.0,3.0,1.0,6.615,44.5125,37.8975,16.089375,14.2115625,6.615,0.0,7.853,7.853,5.889749999999999,2.944875,7.853,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,201.75,11.625,194.0,0.059471632647528895,0.004181196122621372
mp-865028,AcTlTe2,0.6253000000000001,8.430613335203375,-1.251402644791669,0.0,3,0.09281673228969431,52.0,89.0,37.0,68.5,16.5,52.0,14.0,90.0,76.0,67.5,26.75,90.0,127.6,227.0,99.4,171.645825,44.045825,127.6,577.0,1323.0,746.0,836.3299999999999,243.33499999999998,722.66,3.0,16.0,13.0,12.0,4.5,16.0,5.0,7.0,2.0,5.75,0.75,5.0,138.0,215.0,77.0,159.0,28.0,138.0,1.1,2.1,1.0,1.73,0.37,2.1,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.25,1.75,4.0,1.0,10.0,9.0,7.75,3.375,10.0,0.0,14.0,14.0,3.5,5.25,0.0,3.0,27.0,24.0,15.5,6.25,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.25,1.375,2.0,0.0,9.0,9.0,2.25,3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.5,2.5,2.0,26.91,44.5125,17.602500000000003,35.237291666649995,4.637604166675,34.7633333333,0.0,0.464,0.464,0.232,0.232,0.464,0.0,0.0,0.0,0.0,0.0,0.0,152.0,225.0,73.0,180.75,28.75,152.0,0.10643207900232718,0.0037115865844558654
mp-18125,Ag(AuF4)2,0.258499999999999,6.941567477313422,-1.201867790454545,0.0,3,0.044756862205981074,9.0,79.0,70.0,25.181818181818183,23.537190082644624,9.0,65.0,93.0,28.0,85.54545454545455,10.84297520661157,93.0,18.9984032,196.966569,177.9681658,59.435323963636364,58.81733929256199,18.9984032,53.5,1337.33,1283.83,394.3263636363636,495.747438016529,53.5,11.0,17.0,6.0,15.363636363636363,2.3801652892561984,17.0,2.0,6.0,4.0,3.0,1.4545454545454546,2.0,57.0,145.0,88.0,79.36363636363636,32.52892561983471,57.0,1.93,3.98,2.05,3.5318181818181817,0.651900826446281,3.98,1.0,2.0,1.0,1.7272727272727273,0.396694214876033,2.0,0.0,5.0,5.0,3.6363636363636362,1.9834710743801656,5.0,0.0,10.0,10.0,2.727272727272727,3.966942148760331,0.0,0.0,14.0,14.0,2.5454545454545454,4.1652892561983474,0.0,7.0,25.0,18.0,10.636363636363637,5.289256198347108,7.0,0.0,1.0,1.0,0.2727272727272727,0.396694214876033,0.0,0.0,1.0,1.0,0.7272727272727273,0.396694214876033,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,9.7075,16.7,6.9925,11.58090909090909,2.72495867768595,9.7075,0.0,1.97,1.97,1.4327272727272726,0.7814876033057853,1.97,0.0,0.0,0.0,0.0,0.0,0.0,15.0,225.0,210.0,72.27272727272727,83.30578512396694,15.0,0.12393050031495537,0.009498003824522731
mp-568386,Ag10Te4Br3,0.9637000000000001,6.979004698072393,-0.36435031196078305,0.002081343529411,3,0.050311521558663794,35.0,52.0,17.0,46.05882352941177,3.9031141868512087,47.0,65.0,95.0,30.0,76.17647058823529,13.148788927335639,65.0,79.904,127.6,47.696,107.57611764705882,9.766629757785468,107.8682,265.8,1234.93,969.1300000000001,943.3729411764706,343.0083044982699,1234.93,11.0,17.0,6.0,13.235294117647058,2.629757785467128,11.0,4.0,5.0,1.0,4.823529411764706,0.29065743944636696,5.0,120.0,145.0,25.0,138.94117647058823,7.1280276816609005,145.0,1.93,2.96,1.03,2.151764705882353,0.2852595155709343,1.93,1.0,2.0,1.0,1.411764705882353,0.4844290657439447,1.0,0.0,5.0,5.0,1.8235294117647058,2.1453287197231834,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,6.0,13.235294117647058,2.629757785467128,11.0,0.0,1.0,1.0,0.5882352941176471,0.48442906574394456,1.0,0.0,2.0,2.0,0.6470588235294118,0.7612456747404844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.2352941176470589,0.35986159169550175,1.0,16.33,34.7633333333,18.4333333333,22.987843137247058,7.832756632055363,16.33,0.0,1.457,1.457,0.3662941176470588,0.43093425605536334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,179.41176470588235,53.63321799307958,225.0,0.04025051250118908,0.001471543853421986
mp-1229222,Ag10Te4BrCl,0.22080000000000002,7.29653849852453,-0.33069498614583104,0.0016037326562500002,4,0.010007134608914914,17.0,52.0,35.0,45.625,4.90625,47.0,65.0,95.0,30.0,74.9375,12.421875,65.0,35.453,127.6,92.14699999999999,106.52743749999999,12.212234375000007,107.8682,171.6,1234.93,1063.3300000000002,979.83375,318.87031250000007,1234.93,11.0,17.0,6.0,13.0,2.5,11.0,3.0,5.0,2.0,4.8125,0.328125,5.0,102.0,145.0,43.0,139.0,7.5,145.0,1.93,3.16,1.2300000000000002,2.1137500000000005,0.23656250000000037,1.93,1.0,2.0,1.0,1.375,0.46875,1.0,0.0,5.0,5.0,1.625,2.03125,0.0,0.0,10.0,10.0,9.375,1.171875,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,10.0,12.375,2.390625,11.0,0.0,1.0,1.0,0.625,0.46875,1.0,0.0,2.0,2.0,0.625,0.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.25,0.375,1.0,16.33,34.7633333333,18.4333333333,22.270677083325,7.425846354156251,16.33,0.0,2.493,2.493,0.362875,0.45359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,186.625,47.96875,225.0,0.01983648372482192,0.0016190808512573703
mp-1199256,Ag13As3(IO3)4,0.33329999999999904,6.3264344116303555,-0.833353502786457,0.006591958281249001,4,0.04390414260265813,8.0,53.0,45.0,31.8125,17.859375,47.0,65.0,96.0,31.0,78.90625,11.298828125,65.0,15.9994,126.90447,110.90507000000001,72.70819,42.5315925,107.8682,54.8,1234.93,1180.13,672.7840625,534.9715625,1234.93,11.0,17.0,6.0,14.0,2.4375,11.0,2.0,5.0,3.0,3.78125,1.3359375,5.0,66.0,145.0,79.0,112.1875,34.640625,145.0,1.93,3.44,1.51,2.6109375000000004,0.6340625,1.93,1.0,2.0,1.0,1.59375,0.482421875,1.0,0.0,5.0,5.0,2.40625,1.955078125,0.0,0.0,10.0,10.0,6.25,4.6875,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,11.0,10.25,3.1875,11.0,0.0,1.0,1.0,0.40625,0.482421875,1.0,0.0,3.0,3.0,1.15625,0.978515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.5625,0.59765625,1.0,9.105,43.015,33.91,17.50421875,7.253466796875001,16.33,0.0,1.062,1.062,0.13275,0.2323125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,119.46875,94.46875,225.0,0.0677135593379403,0.003957642012768564
mp-560328,Ag15P4S16Cl3,1.288799999999999,4.58713063268096,-0.48195274154135204,0.0,4,0.13540938936070315,15.0,47.0,32.0,28.210526315789473,14.833795013850416,16.0,65.0,94.0,29.0,78.86842105263158,10.948753462603879,88.0,30.973762,107.8682,76.89443800000001,62.139922315789484,36.10127185595568,32.065,171.6,1234.93,1063.3300000000002,697.9397368421054,423.9396814404433,388.36,11.0,17.0,6.0,14.0,2.3684210526315788,16.0,3.0,5.0,2.0,3.789473684210526,0.9556786703601107,3.0,102.0,145.0,43.0,120.76315789473684,19.13434903047091,105.0,1.93,3.16,1.2300000000000002,2.3281578947368424,0.343421052631579,2.58,1.0,2.0,1.0,1.605263157894737,0.47783933518005534,2.0,0.0,5.0,5.0,2.3947368421052633,1.8905817174515234,4.0,0.0,10.0,10.0,3.9473684210526314,4.7783933518005535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,6.0,7.947368421052632,2.4099722991689747,6.0,0.0,1.0,1.0,0.39473684210526316,0.47783933518005534,0.0,0.0,3.0,3.0,1.236842105263158,1.0138504155124655,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.631578947368421,0.5983379501385041,2.0,16.33,25.786875,9.456875,21.613511904757893,4.17119360901939,25.786875,0.0,2.493,2.493,1.2950263157894737,1.0223891966759002,2.202,0.0,0.0,0.0,0.0,0.0,0.0,2.0,225.0,223.0,123.55263157894737,80.09002770083102,70.0,0.1300147755594654,0.0027881883354405417
mp-1197575,Ag2AsS2,0.533399999999999,5.345360682313937,-0.14634721281249402,0.0030302076458330004,3,0.014603614863417868,16.0,47.0,31.0,31.8,12.64,16.0,65.0,88.0,23.0,78.0,10.4,65.0,32.065,107.8682,75.8032,70.9576,31.11408,32.065,388.36,1234.93,846.57,867.316,383.1648,388.36,11.0,16.0,5.0,13.8,2.2399999999999998,11.0,3.0,5.0,2.0,4.0,0.8,3.0,105.0,145.0,40.0,123.8,16.96,105.0,1.93,2.58,0.6500000000000001,2.2399999999999998,0.27199999999999996,1.93,1.0,2.0,1.0,1.6,0.48,1.0,0.0,4.0,4.0,2.2,1.7600000000000002,0.0,0.0,10.0,10.0,6.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,9.0,9.8,3.04,6.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,0.0,3.0,3.0,1.4,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.8,0.6399999999999999,1.0,16.33,25.786875,9.456875,21.28175,3.9614000000000003,16.33,0.0,2.202,2.202,0.8808,1.0569600000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,225.0,155.0,151.2,64.96000000000001,70.0,0.023620026685193456,0.001187354098328962
mp-559071,Ag2Bi2S3Cl2,1.6367999999999991,5.894385992000153,-0.7483002703703701,0.004958104166663001,4,0.20779393755526077,16.0,83.0,67.0,38.0,24.0,16.0,65.0,94.0,29.0,83.77777777777777,8.345679012345682,88.0,32.065,208.9804,176.9154,88.97757777777777,61.730419753086416,32.065,171.6,1234.93,1063.3300000000002,562.9933333333333,298.63851851851854,388.36,11.0,17.0,6.0,14.88888888888889,1.7283950617283947,16.0,3.0,6.0,3.0,4.111111111111111,1.2345679012345678,3.0,102.0,148.0,46.0,122.77777777777777,21.086419753086417,105.0,1.93,3.16,1.2300000000000002,2.44,0.4133333333333334,2.58,1.0,2.0,1.0,1.7777777777777777,0.34567901234567905,2.0,0.0,5.0,5.0,3.111111111111111,1.432098765432099,4.0,0.0,10.0,10.0,4.444444444444445,4.938271604938271,0.0,0.0,14.0,14.0,3.111111111111111,4.839506172839506,0.0,6.0,29.0,23.0,12.444444444444445,7.358024691358025,6.0,0.0,1.0,1.0,0.2222222222222222,0.345679012345679,0.0,0.0,3.0,3.0,1.5555555555555556,0.9382716049382717,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.7777777777777777,0.691358024691358,2.0,16.33,32.95,16.620000000000005,24.990625,4.068333333333333,25.786875,0.0,2.493,2.493,1.2879999999999998,1.1448888888888888,2.202,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,90.22222222222223,59.901234567901234,70.0,0.16576915168603934,0.004018530395814073
mp-23558,Ag2BiO3,0.38720000000000004,8.565435840877605,-0.9173112705555521,0.0,3,0.041466994685436055,8.0,83.0,75.0,33.5,25.5,8.0,65.0,87.0,22.0,79.5,9.666666666666666,87.0,15.9994,208.9804,192.981,78.78583333333334,62.78643333333334,15.9994,54.8,1234.93,1180.13,529.7766666666668,474.9766666666667,54.8,11.0,16.0,5.0,14.166666666666666,2.111111111111111,16.0,2.0,6.0,4.0,3.6666666666666665,1.6666666666666667,2.0,66.0,148.0,82.0,106.0,40.0,66.0,1.93,3.44,1.51,2.6999999999999997,0.7399999999999999,3.44,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,4.0,4.0,2.5,1.6666666666666667,4.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,14.0,14.0,2.3333333333333335,3.888888888888889,0.0,6.0,29.0,23.0,11.5,5.833333333333333,6.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,3.0,3.0,1.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.8333333333333333,0.5555555555555555,2.0,9.105,32.95,23.845000000000002,15.487499999999999,6.3825,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,83.0,94.66666666666667,12.0,0.0877860866962831,0.007322909934463174
mp-556345,Ag2BrNO3,1.6045,5.030349553075043,-0.6550704147619041,0.019580985714285,4,0.20894378421459395,7.0,47.0,40.0,22.857142857142858,17.26530612244898,8.0,65.0,95.0,30.0,81.14285714285714,9.22448979591837,87.0,14.0067,107.8682,93.8615,51.09218571428572,40.67538367346939,15.9994,54.8,1234.93,1180.13,423.30142857142863,463.7877551020409,54.8,11.0,17.0,6.0,14.571428571428571,2.0408163265306123,16.0,2.0,5.0,3.0,3.142857142857143,1.3061224489795917,2.0,66.0,145.0,79.0,97.0,34.0,66.0,1.93,3.44,1.51,2.882857142857143,0.5444897959183673,3.44,1.0,2.0,1.0,1.7142857142857142,0.4081632653061225,2.0,0.0,5.0,5.0,2.857142857142857,1.6326530612244898,4.0,0.0,10.0,10.0,4.285714285714286,4.8979591836734695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,12.0,8.857142857142858,3.5510204081632653,6.0,0.0,1.0,1.0,0.2857142857142857,0.40816326530612246,0.0,0.0,3.0,3.0,1.4285714285714286,0.9387755102040816,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.7142857142857142,0.6122448979591837,2.0,9.105,29.48,20.375,14.889107142857142,4.992193877551019,9.105,0.0,6.437,6.437,1.1277142857142857,1.6110204081632653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,106.28571428571429,92.89795918367348,12.0,0.18043950621239263,0.00289666584093935
mp-1178578,Ag2CO3,0.449999999999999,5.542295022453813,-1.062045303888889,0.027453814166666,3,0.08623147966362199,6.0,47.0,41.0,20.666666666666668,17.555555555555554,8.0,65.0,87.0,22.0,78.0,9.0,87.0,12.0107,107.8682,95.8575,45.95755,41.27376666666667,15.9994,54.8,3823.0,3768.2,1076.21,1021.4100000000002,54.8,11.0,16.0,5.0,14.0,2.0,16.0,2.0,5.0,3.0,3.0,1.3333333333333333,2.0,66.0,145.0,79.0,94.0,34.0,66.0,1.93,3.44,1.51,2.7883333333333336,0.6516666666666667,3.44,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,4.0,4.0,2.3333333333333335,1.6666666666666667,4.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,7.0,7.333333333333333,2.4444444444444446,6.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,4.0,4.0,1.6666666666666667,1.111111111111111,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,0.6666666666666666,2.0,5.64,16.33,10.689999999999998,10.935833333333333,3.59611111111111,9.105,0.0,4.496,4.496,0.7493333333333334,1.248888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,113.33333333333333,101.33333333333333,12.0,0.11776466801130132,0.008179971376165373
mp-861942,Ag2GePbS4,1.3699,5.680462312578542,-0.550358512291666,0.0,4,0.13272440723609175,16.0,82.0,66.0,34.0,18.5,16.0,65.0,88.0,23.0,80.25,7.9375,88.0,32.065,207.2,175.135,77.97954999999999,47.2494375,32.065,388.36,1234.93,846.57,729.4137499999999,373.2546875,388.36,11.0,16.0,5.0,14.25,1.75,16.0,3.0,6.0,3.0,4.0,1.0,3.0,105.0,146.0,41.0,122.0,17.5,105.0,1.93,2.58,0.6500000000000001,2.315,0.2687500000000001,2.58,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.5,1.5,4.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,14.0,14.0,1.75,3.0625,0.0,6.0,28.0,22.0,11.0,5.0,6.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,4.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.25,0.875,2.0,16.33,28.11,11.780000000000001,23.365312499999998,3.607734375,25.786875,0.0,2.202,2.202,1.1488749999999999,1.053125,2.202,0.0,0.0,0.0,0.0,0.0,0.0,70.0,225.0,155.0,147.5,77.5,70.0,0.1076641338811429,0.002819909010154872
mp-9900,Ag2GeS3,0.4646,4.7677750672269035,-0.46699392263888906,0.0,3,0.045506620570840296,16.0,47.0,31.0,29.0,13.0,16.0,65.0,88.0,23.0,78.83333333333333,9.222222222222223,88.0,32.065,107.8682,75.8032,64.09523333333333,32.030233333333335,32.065,388.36,1234.93,846.57,807.7233333333334,419.3633333333334,388.36,11.0,16.0,5.0,14.0,2.0,16.0,3.0,5.0,2.0,3.8333333333333335,0.8333333333333334,3.0,105.0,145.0,40.0,120.83333333333333,16.11111111111111,105.0,1.93,2.58,0.6500000000000001,2.268333333333333,0.31166666666666676,2.58,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,4.0,4.0,2.3333333333333335,1.6666666666666667,4.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,8.0,9.0,3.0,6.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,4.0,4.0,1.6666666666666667,1.111111111111111,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,0.6666666666666666,2.0,16.33,25.786875,9.456875,22.170937499999997,3.893958333333334,25.786875,0.0,2.202,2.202,1.1648333333333334,1.0371666666666666,2.202,0.0,0.0,0.0,0.0,0.0,0.0,70.0,225.0,155.0,147.5,77.5,70.0,0.04540346017933997,0.0015527099323424138
mp-690687,Ag2H2IOF,1.4591,5.04416628656165,-1.046624786547618,0.0,5,0.3027517009834532,1.0,53.0,52.0,23.714285714285715,21.6734693877551,1.0,65.0,96.0,31.0,84.28571428571429,11.020408163265303,65.0,1.00794,126.90447,125.89653,54.236364742857134,51.40907879183674,1.00794,14.01,1234.93,1220.92,427.5757142857143,461.345306122449,14.01,1.0,17.0,16.0,10.571428571428571,5.469387755102042,1.0,1.0,5.0,4.0,3.0,1.7142857142857142,1.0,31.0,145.0,114.0,87.71428571428571,47.38775510204082,31.0,1.93,3.98,2.05,2.62,0.6342857142857142,1.93,1.0,2.0,1.0,1.4285714285714286,0.48979591836734687,1.0,0.0,5.0,5.0,2.0,2.2857142857142856,0.0,0.0,10.0,10.0,4.285714285714286,4.8979591836734695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,16.0,7.714285714285714,4.530612244897959,1.0,0.0,1.0,1.0,0.5714285714285714,0.48979591836734687,1.0,0.0,2.0,2.0,0.5714285714285714,0.653061224489796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.1428571428571428,0.24489795918367344,1.0,6.615,43.015,36.4,15.388214285714286,8.431530612244897,6.615,0.0,7.853,7.853,2.6768571428571426,2.9577959183673466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,132.71428571428572,87.75510204081631,194.0,0.27384125348949684,0.0087727490621248
